query_number,execution_time(seconds)
1,0.24
2,1.03
3,0.03
4,1.49
5,2.31
6,0.51
7,3.26
8,0.61
9,2.48
10,21.87
11,0.84
12,0.24
13,3.29
14,5.82
15,0.3
16,0.49
17,2.82
18,0.48
19,1.56
20,0.3
21,0.46
22,1.41
23,6.05
24,0.72
25,0.84
26,1.23
27,0.43
28,1.52
29,0.72
30,0.19
31,0.45
32,0.02
33,0.65
34,0.7
35,1.48
36,0.59
37,0.05
38,0.65
39,1.29
40,0.31
41,0.03
42,0.31
43,0.49
44,0.56
45,0.27
46,1.03
47,1.39
48,3.48
49,0.12
50,0.1
51,1.35
52,0.16
53,0.3
54,0.41
55,0.08
56,0.65
57,0.73
58,0.69
59,0.56
60,0.64
61,0.03
62,0.3
63,0.3
64,0.43
65,3.86
66,0.7
67,1.64
68,0.77
69,155.36
70,0.7
71,1.0
72,1.5
73,0.31
74,0.72
75,0.95
76,0.63
77,0.69
78,2.07
79,0.63
80,0.72
81,0.77
82,0.05
83,0.14
84,0.06
85,0.58
86,0.21
87,0.65
88,2.23
89,1.01
90,0.26
91,0.19
92,0.01
93,0.36
94,0.29
95,0.66
96,0.29
97,0.81
98,6.57
99,0.44
