query_number,execution_time(seconds)

1,0.33

2,2.45

3,1.21

4,5.02

5,9.85

6,1.99

7,8.7

8,1.97

9,15.44

10,5.63

11,3.07

12,0.7

13,2.09

14,23.42

15,1.67

16,2.48

17,25.64

18,1.85

19,11.16

20,1.23

21,1.45

22,2.71

23,22.97

24,33.12

25,10.89

26,8.7

27,1.91

28,9.43

29,6.82

30,0.85

31,2.71

32,0.12

33,3.4

34,1.91

36,1.87

37,0.04

38,3.57

39,3.5

40,1.33

41,0.05

42,2.74

43,1.73

44,3.2

45,1.01

46,2.13

47,4.31

48,15.61

49,0.88

50,0.62

51,4.88

52,2.83

53,1.64

54,2.02

55,0.78

56,3.44

57,2.33

58,3.4

59,1.73

60,3.37

61,0.03

62,0.67

63,1.6

64,0.59

65,3.32

66,2.17

67,3.59

68,1.83

70,3.25

71,3.44

72,12.3

73,1.62

74,2.88

75,4.24

76,3.35

77,3.67

78,7.95

79,1.73

80,3.6

81,0.38

82,0.06

83,0.35

84,0.21

85,5.09

86,0.59

87,3.61

88,12.5

89,1.74

90,1.12

91,0.2

92,0.02

93,2.24

94,1.2

95,21.11

96,1.55

97,3.36

98,3.38

99,1.37

