query_number,execution_time(seconds)
1,0.7
2,5.67
3,0.72
4,14.41
5,25.28
6,3.81
7,22.26
8,3.78
9,28.46
10,7.58
11,8.81
12,1.87
13,27.63
14,53.51
15,3.97
16,5.65
17,6.48
18,3.16
19,32.48
20,2.87
21,3.33
22,9.5
23,62.26
24,137.06
25,183.33
26,13.09
27,3.76
28,17.22
29,6.31
30,2.01
31,5.12
32,0.59
33,7.33
34,4.33
36,3.27
37,0.11
38,7.54
39,9.61
40,3.09
41,0.08
42,8.75
43,3.27
44,3.03
45,2.35
46,5.17
47,8.3
48,28.4
49,2.2
50,3.03
51,10.6
52,8.53
53,3.12
54,5.06
55,4.16
56,7.48
57,5.67
58,7.63
59,3.33
60,7.34
61,0.04
62,2.32
63,2.92
64,28.57
65,31.46
66,5.42
67,14.03
68,4.42
70,6.42
71,10.38
72,18.64
73,3.44
74,8.94
75,9.63
76,7.29
77,8.09
78,20.42
79,3.91
80,8.11
81,1.8
82,0.1
83,0.95
84,0.65
85,3.07
86,1.76
87,7.48
88,22.91
89,3.63
90,3.26
91,0.54
92,0.25
93,4.56
94,3.55
95,6.36
96,2.87
97,8.36
98,30.44
99,3.38
