
I_MANAGER_ID  SUM_SALES AVG_MONTHLY_SALES                                       
------------ ---------- -----------------                                       
          10     114.47        480.931667                                       
          10      167.2        480.931667                                       
          10     224.72        480.931667                                       
          10     262.29        480.931667                                       
          10     274.18        480.931667                                       
          10     309.11        480.931667                                       
          10     339.44        480.931667                                       
          10     610.65        480.931667                                       
          10     623.11        480.931667                                       
          10     691.45        480.931667                                       
          10     772.13        480.931667                                       

I_MANAGER_ID  SUM_SALES AVG_MONTHLY_SALES                                       
------------ ---------- -----------------                                       
          10    1382.43        480.931667                                       
          11       6.03        270.773333                                       
          11      73.15        270.773333                                       
          11      97.98        270.773333                                       
          11     143.72        270.773333                                       
          11     160.12        270.773333                                       
          11     171.86        270.773333                                       
          11        177        270.773333                                       
          11     298.71        270.773333                                       
          11     379.27        270.773333                                       
          11     408.88        270.773333                                       

I_MANAGER_ID  SUM_SALES AVG_MONTHLY_SALES                                       
------------ ---------- -----------------                                       
          11     609.13        270.773333                                       
          11     723.43        270.773333                                       
          12      30.67        347.134167                                       
          12      87.53        347.134167                                       
          12      157.9        347.134167                                       
          12     179.78        347.134167                                       
          12     226.77        347.134167                                       
          12     289.29        347.134167                                       
          12     458.26        347.134167                                       
          12     501.61        347.134167                                       
          12     506.57        347.134167                                       

I_MANAGER_ID  SUM_SALES AVG_MONTHLY_SALES                                       
------------ ---------- -----------------                                       
          12     556.52        347.134167                                       
          12     561.38        347.134167                                       
          12     609.33        347.134167                                       
          13      23.18        216.019167                                       
          13      27.63        216.019167                                       
          13      71.57        216.019167                                       
          13     127.05        216.019167                                       
          13     159.66        216.019167                                       
          13     250.42        216.019167                                       
          13     251.42        216.019167                                       
          13     258.33        216.019167                                       

I_MANAGER_ID  SUM_SALES AVG_MONTHLY_SALES                                       
------------ ---------- -----------------                                       
          13     384.08        216.019167                                       
          13        395        216.019167                                       
          13     442.07        216.019167                                       
          16     123.63          576.5575                                       
          16      241.9          576.5575                                       
          16     294.96          576.5575                                       
          16     340.35          576.5575                                       
          16     417.47          576.5575                                       
          16      492.4          576.5575                                       
          16      495.3          576.5575                                       
          16     497.89          576.5575                                       

I_MANAGER_ID  SUM_SALES AVG_MONTHLY_SALES                                       
------------ ---------- -----------------                                       
          16     781.32          576.5575                                       
          16     874.09          576.5575                                       
          16    1010.25          576.5575                                       
          16    1349.13          576.5575                                       
          25      25.96           327.615                                       
          25      54.94           327.615                                       
          25     122.75           327.615                                       
          25     125.44           327.615                                       
          25     146.05           327.615                                       
          25     173.86           327.615                                       
          25     221.37           327.615                                       

I_MANAGER_ID  SUM_SALES AVG_MONTHLY_SALES                                       
------------ ---------- -----------------                                       
          25     234.95           327.615                                       
          25     474.63           327.615                                       
          25     580.71           327.615                                       
          25     812.26           327.615                                       
          25     958.46           327.615                                       
          29      44.95        244.416667                                       
          29      65.61        244.416667                                       
          29      95.58        244.416667                                       
          29     154.62        244.416667                                       
          29     187.93        244.416667                                       
          29     190.72        244.416667                                       

I_MANAGER_ID  SUM_SALES AVG_MONTHLY_SALES                                       
------------ ---------- -----------------                                       
          29     207.39        244.416667                                       
          29     207.78        244.416667                                       
          29     419.71        244.416667                                       
          29     534.72        244.416667                                       
          29      588.2        244.416667                                       
          34      31.22        303.038333                                       
          34      84.12        303.038333                                       
          34      94.25        303.038333                                       
          34     103.19        303.038333                                       
          34     191.19        303.038333                                       
          34     225.19        303.038333                                       

I_MANAGER_ID  SUM_SALES AVG_MONTHLY_SALES                                       
------------ ---------- -----------------                                       
          34     673.38        303.038333                                       
          34     932.05        303.038333                                       
          36      83.65        253.698333                                       
          36      87.17        253.698333                                       
          36     139.82        253.698333                                       
          36     193.72        253.698333                                       
          36     205.83        253.698333                                       
          36     296.34        253.698333                                       
          36     299.12        253.698333                                       
          36     319.58        253.698333                                       
          36     339.38        253.698333                                       

I_MANAGER_ID  SUM_SALES AVG_MONTHLY_SALES                                       
------------ ---------- -----------------                                       
          36     387.79        253.698333                                       

100 rows selected.

timing for: t
Elapsed: 00:00:01.60
