
I_MANUFACT_ID  SUM_SALES AVG_QUARTERLY_SALES                                    
------------- ---------- -------------------                                    
          191     331.98                 599                                    
          191     370.58                 599                                    
          191     538.49                 599                                    
          191    1154.95                 599                                    
          887     301.39             719.775                                    
          887     347.57             719.775                                    
          887     812.58             719.775                                    
          887    1417.56             719.775                                    
          334     431.57             722.325                                    
          334      527.6             722.325                                    
          334     929.84             722.325                                    

I_MANUFACT_ID  SUM_SALES AVG_QUARTERLY_SALES                                    
------------- ---------- -------------------                                    
          334    1000.29             722.325                                    
          268     444.27            748.5475                                    
          268     530.13            748.5475                                    
          268     584.25            748.5475                                    
          268    1435.54            748.5475                                    
          355     195.26             775.575                                    
          355     562.09             775.575                                    
          355      945.5             775.575                                    
          355    1399.45             775.575                                    
          163     341.67            776.6275                                    
          163     541.54            776.6275                                    

I_MANUFACT_ID  SUM_SALES AVG_QUARTERLY_SALES                                    
------------- ---------- -------------------                                    
          163     920.94            776.6275                                    
          163    1302.36            776.6275                                    
          103     280.91             782.395                                    
          103     458.29             782.395                                    
          103      655.5             782.395                                    
          103    1734.88             782.395                                    
           94     492.62              787.16                                    
           94     682.46              787.16                                    
           94    1228.69              787.16                                    
          190     332.11                 790                                    
          190      469.7                 790                                    

I_MANUFACT_ID  SUM_SALES AVG_QUARTERLY_SALES                                    
------------- ---------- -------------------                                    
          190    1060.43                 790                                    
          190    1297.76                 790                                    
          893     235.97               819.2                                    
          893     583.02               819.2                                    
          893     942.08               819.2                                    
          893    1515.73               819.2                                    
          195      248.5            820.1075                                    
          195     514.72            820.1075                                    
          195     914.92            820.1075                                    
          195    1602.29            820.1075                                    
          318     237.73            831.0775                                    

I_MANUFACT_ID  SUM_SALES AVG_QUARTERLY_SALES                                    
------------- ---------- -------------------                                    
          318    1057.52            831.0775                                    
          318    1258.22            831.0775                                    
          337     622.56              842.99                                    
          337     668.07              842.99                                    
          337    1207.65              842.99                                    
          174     190.75            859.8025                                    
          174     443.76            859.8025                                    
          174     658.39            859.8025                                    
          174    2146.31            859.8025                                    
          612     463.34            862.7775                                    
          612     632.24            862.7775                                    

I_MANUFACT_ID  SUM_SALES AVG_QUARTERLY_SALES                                    
------------- ---------- -------------------                                    
          612    1136.99            862.7775                                    
          612    1218.54            862.7775                                    
          137     448.15                 875                                    
          137     690.38                 875                                    
          137     968.66                 875                                    
          137    1392.81                 875                                    
           36     496.54            894.8025                                    
           36    1246.35            894.8025                                    
           68     422.91              904.93                                    
           68     539.89              904.93                                    
           68    1043.61              904.93                                    

I_MANUFACT_ID  SUM_SALES AVG_QUARTERLY_SALES                                    
------------- ---------- -------------------                                    
           68    1613.31              904.93                                    
          194     521.81               959.4                                    
          194     649.53               959.4                                    
          194    1064.17               959.4                                    
          194    1602.09               959.4                                    
          800     542.53            972.7425                                    
          800     604.41            972.7425                                    
          800     765.03            972.7425                                    
          800       1979            972.7425                                    
          264      337.6              990.35                                    
          264     603.08              990.35                                    

I_MANUFACT_ID  SUM_SALES AVG_QUARTERLY_SALES                                    
------------- ---------- -------------------                                    
          264    1128.06              990.35                                    
          264    1892.66              990.35                                    
          402     238.51            998.1075                                    
          402     704.59            998.1075                                    
          402    1107.21            998.1075                                    
          402    1942.12            998.1075                                    
          262     624.29            999.8775                                    
          262     840.47            999.8775                                    
          262    1520.32            999.8775                                    
          985     597.18              1001.7                                    
          985     701.39              1001.7                                    

I_MANUFACT_ID  SUM_SALES AVG_QUARTERLY_SALES                                    
------------- ---------- -------------------                                    
          985    1269.78              1001.7                                    
          985    1438.45              1001.7                                    
          913     488.56           1004.9775                                    
          913     639.32           1004.9775                                    
          913    1898.13           1004.9775                                    
          315     547.63            1040.385                                    
          315     599.76            1040.385                                    
          315    2036.28            1040.385                                    
          370     530.77           1049.8925                                    
          370     926.66           1049.8925                                    
          370    1225.68           1049.8925                                    

I_MANUFACT_ID  SUM_SALES AVG_QUARTERLY_SALES                                    
------------- ---------- -------------------                                    
          370    1516.46           1049.8925                                    

100 rows selected.

timing for: t
Elapsed: 00:00:03.12
